pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,865.6405
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,873.1029
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,879.8663
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,878.64355
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,871.8255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,855.17035
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,858.3041
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,865.6405
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,873.1029
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,879.8663
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,878.64355
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,871.8255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,855.17035
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,858.3041
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,865.6405
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,873.1029
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,879.8663
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,878.64355
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,871.8255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,855.17035
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,858.3041
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,865.6405
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,873.1029
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,879.8663
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,878.64355
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,871.8255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,855.17035
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,858.3041
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,865.6405
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,873.1029
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,879.8663
